CAPSTONE_AP_1,CAPSTONE_AP_2,CAPSTONE_AP_3,CAPSTONE_AP_4,Location
-44,-54,-48,-50,A1
-44,-54,-48,-50,A1
-44,-54,-48,-50,A1
-44,-54,-48,-50,A1
-44,-54,-48,-50,A1
-44,-54,-48,-50,A1
-44,-54,-48,-50,A1
-44,-54,-48,-50,A1
-44,-54,-48,-50,A1
-44,-48,-52,-50,A1
-44,-48,-52,-50,A1
-44,-48,-52,-50,A1
-44,-48,-52,-50,A1
-44,-48,-52,-50,A1
-44,-48,-52,-50,A1
-44,-48,-52,-50,A1
-44,-48,-52,-50,A1
-44,-48,-52,-50,A1
-44,-48,-52,-50,A1
-44,-44,-52,-53,A1
-44,-44,-52,-53,A1
-44,-44,-52,-53,A1
-44,-44,-52,-53,A1
-44,-44,-52,-53,A1
-44,-44,-52,-53,A1
-44,-44,-52,-56,A1
-44,-44,-52,-56,A1
-44,-44,-52,-56,A1
-44,-44,-52,-56,A1
-44,-44,-52,-56,A1
-44,-44,-52,-56,A1
-44,-44,-52,-56,A1
-44,-44,-52,-56,A1
-44,-44,-52,-56,A1
-44,-44,-52,-56,A1
-44,-44,-52,-56,A1
-44,-44,-52,-56,A1
-44,-44,-52,-56,A1
-44,-44,-52,-56,A1
-44,-44,-52,-56,A1
-37,-49,-44,-56,A1
-37,-49,-44,-56,A1
-37,-49,-44,-56,A1
-37,-49,-44,-56,A1
-37,-49,-44,-56,A1
-37,-49,-44,-56,A1
-37,-49,-44,-56,A1
-37,-49,-44,-56,A1
-37,-49,-44,-56,A1
-37,-49,-44,-56,A1
-37,-49,-44,-56,A1
-37,-49,-44,-56,A1
-37,-49,-44,-56,A1
-37,-49,-44,-56,A1
-37,-55,-44,-56,A1
-37,-55,-44,-56,A1
-37,-55,-44,-56,A1
-37,-55,-44,-56,A1
-37,-55,-44,-56,A1
-37,-55,-44,-56,A1
-37,-53,-48,-59,A1
-37,-53,-48,-59,A1
-37,-53,-48,-59,A1
-37,-53,-48,-59,A1
-37,-53,-48,-59,A1
-37,-53,-48,-59,A1
-37,-53,-48,-59,A1
-37,-53,-48,-59,A1
-37,-53,-48,-59,A1
-37,-53,-48,-59,A1
-37,-53,-48,-59,A1
-37,-53,-48,-59,A1
-37,-53,-48,-59,A1
-37,-53,-48,-59,A1
-37,-53,-48,-59,A1
-37,-53,-48,-59,A1
-37,-53,-48,-59,A1
-37,-53,-48,-59,A1
-37,-53,-48,-59,A1
-37,-53,-48,-59,A1
-37,-53,-48,-59,A1
